,match_id,comp_id,season_id,date,home_name,home_id,away_name,away_id,home_score,away_score,home_xg_ft,away_xg_ft,home_xg_1h,away_xg_1h,home_xg_2h,away_xg_2h,home_sot_ft,away_sot_ft,home_sot_1h,away_sot_1h,home_sot_2h,away_sot_2h,home_shots_ft,away_shots_ft,home_shots_1h,away_shots_1h,home_shots_2h,away_shots_2h,home_corners_ft,away_corners_ft,home_corners_1h,away_corners_1h,home_corners_2h,away_corners_2h,home_fouls_ft,away_fouls_ft,home_fouls_1h,away_fouls_1h,home_fouls_2h,away_fouls_2h,home_offsides_ft,away_offsides_ft,home_offsides_1h,away_offsides_1h,home_offsides_2h,away_offsides_2h,home_yellows_ft,away_yellows_ft,home_yellows_1h,away_yellows_1h,home_yellows_2h,away_yellows_2h,home_poss_ft,away_poss_ft,home_poss_1h,away_poss_1h,home_poss_2h,away_poss_2h,home_reds_ft,away_reds_ft,home_reds_1h,away_reds_1h,home_reds_2h,away_reds_2h
0,mt_625686006,comp_2954,sn_3001600,2025-06-09T18:45:00.000Z,Croatia,tm_41754,Czechia,tm_09485,5,1,3.62,1.68,,,,,11,5,4.0,2.0,7.0,3.0,18,14,10.0,10.0,8.0,4.0,0,6,0.0,1.0,0.0,5.0,3,11,,,,,3,1,3.0,0.0,0.0,1.0,0,2,0,0,0,2,61,39,69.0,31.0,51.0,49.0,0,0,0,0,0,0
1,mt_401494222,comp_2954,sn_3001600,2025-06-09T18:45:00.000Z,Faroe Islands,tm_17071,Gibraltar,tm_0189159,2,1,2.38,0.25,,,,,5,1,1.0,1.0,4.0,0.0,22,5,10.0,4.0,12.0,1.0,11,3,5.0,2.0,6.0,1.0,12,7,,,,,3,2,0.0,1.0,3.0,1.0,1,1,0,1,1,0,73,27,73.0,27.0,74.0,26.0,0,0,0,0,0,0
2,mt_836828772,comp_2954,sn_3001600,2025-06-09T18:45:00.000Z,Belgium,tm_32860,Wales,tm_94101,4,3,2.86,2.43,,,,,4,8,3.0,4.0,1.0,4.0,18,12,9.0,6.0,9.0,6.0,7,5,5.0,4.0,2.0,1.0,13,9,,,,,1,0,1.0,0.0,0.0,0.0,3,3,2,1,1,2,46,54,47.0,53.0,44.0,56.0,0,0,0,0,0,0
3,mt_625686050,comp_2954,sn_3001600,2025-06-09T18:45:00.000Z,Italy,tm_32805,Moldova,tm_94208,2,0,2.73,1.61,,,,,7,7,2.0,2.0,5.0,5.0,28,18,13.0,6.0,15.0,12.0,7,6,3.0,4.0,4.0,2.0,8,12,,,,,0,1,0.0,1.0,0.0,0.0,1,1,0,0,1,1,66,34,72.0,28.0,59.0,41.0,0,0,0,0,0,0
4,mt_401494211,comp_2954,sn_3001600,2025-06-09T18:45:00.000Z,Estonia,tm_70906,Norway,tm_41500,0,1,0.47,2.39,,,,,2,3,0.0,1.0,2.0,2.0,7,19,1.0,11.0,6.0,8.0,2,2,0.0,2.0,2.0,0.0,7,9,,,,,0,0,,,,,1,1,0,0,1,1,38,62,32.0,68.0,45.0,55.0,0,0,0,0,0,0
5,mt_019070593,comp_2954,sn_3001600,2025-06-09T14:00:00.000Z,Kazakhstan,tm_94197,North Macedonia,tm_32834,0,1,0.81,0.56,,,,,3,5,2.0,4.0,1.0,1.0,13,9,6.0,6.0,7.0,3.0,6,0,4.0,0.0,2.0,0.0,21,11,,,,,1,1,0.0,1.0,1.0,0.0,2,2,0,0,2,2,53,47,49.0,51.0,59.0,41.0,0,0,0,0,0,0
6,mt_583565932,comp_2954,sn_3001600,2025-06-07T18:45:00.000Z,Finland,tm_94162,Netherlands,tm_41792,0,2,0.22,2.29,,,,,2,6,1.0,4.0,1.0,2.0,5,17,3.0,11.0,2.0,6.0,1,6,1.0,2.0,0.0,4.0,9,9,,,,,0,2,0.0,1.0,0.0,1.0,1,2,0,1,1,1,40,60,34.0,66.0,47.0,53.0,0,0,0,0,0,0
7,mt_974909348,comp_2954,sn_3001600,2025-06-07T18:45:00.000Z,Albania,tm_17513,Serbia,tm_44175,0,0,1.12,0.35,,,,,4,2,3.0,1.0,1.0,1.0,10,8,7.0,4.0,3.0,4.0,4,4,1.0,2.0,3.0,2.0,9,13,,,,,0,0,,,,,1,2,1,1,0,1,44,56,48.0,52.0,40.0,60.0,0,0,0,0,0,0
8,mt_258232185,comp_2954,sn_3001600,2025-06-07T18:45:00.000Z,Austria,tm_86533,Romania,tm_32068,2,1,1.37,0.6,,,,,9,3,7.0,0.0,2.0,3.0,14,10,11.0,3.0,3.0,7.0,5,4,3.0,2.0,2.0,2.0,11,10,,,,,1,2,0.0,2.0,1.0,0.0,1,1,0,1,1,0,60,40,60.0,40.0,60.0,40.0,0,0,0,0,0,0
9,mt_197141873,comp_2954,sn_3001600,2025-06-07T16:00:00.000Z,Malta,tm_53717,Lithuania,tm_65365,0,0,0.1,0.34,,,,,1,2,0.0,1.0,1.0,1.0,6,8,2.0,6.0,4.0,2.0,2,2,0.0,2.0,2.0,0.0,23,19,,,,,1,0,1.0,0.0,0.0,0.0,3,2,1,1,2,1,49,51,47.0,53.0,50.0,50.0,0,0,0,0,0,0
